itemid,boardid,userid,isSolvedTopic
50,232660,4381,0
50,232660,5204,0
25,232673,4669,1
25,232673,2158,1
25,232673,6351,1
25,232673,6148,1
25,232673,4669,1
25,232673,2158,1
25,232673,5887,1
25,232673,4669,1
25,232673,4774,1
25,232673,4669,1
25,232673,6345,1
25,232673,2158,1
25,232673,6351,1
25,232673,3733,1
25,232673,6351,1
25,232673,4937,1
25,232673,6351,1
16,232674,2949,0
16,232674,6148,0
16,232674,4774,0
16,232674,5398,0
16,232674,4774,0
16,232674,5398,0
16,232674,4774,0
16,232674,5398,0
18,232678,1618,1
18,232678,5887,1
18,232678,1618,1
18,232678,2158,1
18,232678,1618,1
18,232678,2158,1
18,232678,6148,1
18,232678,2158,1
18,232678,6456,1
18,232678,5887,1
18,232678,2158,1
18,232678,6148,1
18,232678,2158,1
18,232678,4597,1
